Paula painted a cake in a closet .	paint ( agent = Paula , theme = cake ( nmod . in = closet ) )	prim_to_subj_proper
Zoe thought that a hippo cleaned .	think ( agent = Zoe , ccomp = clean ( agent = hippo ) )	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj
The princess teleported a cookie to the goose .	teleport ( agent = * princess , theme = cookie , recipient = * goose )	do_dative_to_pp_dative
A cockroach gave a pretzel to Olivia .	give ( agent = cockroach , theme = pretzel , recipient = Olivia )	obj_to_subj_common
The girl hoped that the hippo painted .	hope ( agent = * girl , ccomp = paint ( agent = * hippo ) )	only_seen_as_unacc_subj_as_obj_omitted_transitive_subj
Emma declared that a cobra grew .	declare ( agent = Emma , ccomp = grow ( theme = cobra ) )	only_seen_as_transitive_subj_as_unacc_subj
William tolerated that Charlie fed the cake on the stage to the boy .	tolerate ( agent = William , ccomp = feed ( agent = Charlie , theme = * cake ( nmod . on = * stage ) , recipient = * boy ) )	obj_to_subj_proper
Paula promised a chair beside the computer to Emma .	promise ( agent = Paula , theme = chair ( nmod . beside = * computer ) , recipient = Emma )	prim_to_subj_proper
The queen froze the strawberry in the cabinet beside the shoe on the chair in the box on a road on a rock on a bench in a cage beside the bed on a vessel on the table beside the book .	freeze ( agent = * queen , theme = * strawberry ( nmod . in = * cabinet ( nmod . beside = * shoe ( nmod . on = * chair ( nmod . in = * box ( nmod . on = road ( nmod . on = rock ( nmod . on = bench ( nmod . in = cage ( nmod . beside = * bed ( nmod . on = vessel ( nmod . on = * table ( nmod . beside = * book ) ) ) ) ) ) ) ) ) ) ) ) )	pp_recursion
Charlie loaned the cake in a house to the girl .	loan ( agent = Charlie , theme = * cake ( nmod . in = house ) , recipient = * girl )	obj_to_subj_proper
